rho eq,E/A,K,J,L,h v 2-,a s +,h s nabla,kappa,kappa',f xi ex,h xi +,h xi nabla,binding energy,std radii,other quantities
0.15232027374195278,-16.089339065188646,233.1106072513585,29.455502768115597,16.588182839919533,47.21330015525112,0.41906456048917434,0.4970485557777745,0.17640102648936612,-0.5550619116361428,-4.571635045116269,4.058128483811776,-0.28553582737718786,697530.496690723,7530.237067908833,132598.09255430274
0.14936803546910654,-15.85502588747424,152.37590313751195,22.136627572751088,24.756713489683214,83.97574325922362,0.5670239739878037,0.3028631918460835,0.13868034137338042,-0.6049696159271194,-4.459872673274049,3.999010792961837,1.2050904256589314,9577582.381973214,20.64001353422197,450.1032086394202
0.16329408800654355,-15.935801612776586,154.63220667255473,24.262657973479257,62.76487802598799,11.490434885852471,0.4655852995007799,0.04305074565607294,0.1978447092331172,0.4333141483044597,-4.475771218171549,4.2376453669499305,2.867262991378217,11416.704927534951,1619.586169755401,829.7809112307364
0.15270579602516696,-15.56972883640547,173.0000268711646,32.30115270972226,2.223513461388928,6.1943037039106095,0.5981335206679547,0.12555425626187963,0.15635792045767377,-0.14003075374815932,-4.385222148197045,4.065481299296938,0.5100631284563435,628.2874689194766,33.04939848094252,81.59399405882303
0.1481623409100007,-15.960927709940206,204.81922665772498,36.292684855919916,20.64332786650731,14.625383193652148,0.5520136594568594,0.3423503836217058,0.1873847427002279,-0.0280792747513533,-4.494382932020843,4.099197790695501,-0.2338254747850197,199.76213891367692,25.690671167178262,189.5505924995758
0.16247908917676757,-16.065798912801288,151.89366691029284,35.5296203651457,69.07430542761783,71.38601151689535,0.5132888863292114,0.23876518117483245,0.0813160765128185,0.6924376333422745,-4.536745917193127,4.201690122577947,1.8846164733659876,46829.563048778815,23.771767761707316,60571.107829272834
0.16306081650083806,-15.52993567502016,146.50104930617843,35.031061001739005,61.37107685134915,85.46351118379295,0.4889882780372036,0.05136498565026202,0.11727567895902946,0.3622405146900406,-4.459108949297411,4.25974215296325,3.595246420217185,696.5255359170185,9695.51938720711,9708.423047408707
0.16299482121814265,-16.139309723970694,230.02201210485842,25.477214585214988,49.38026412100639,30.635851065695235,0.5505617003883386,0.3332634073128052,0.21436263754430473,-0.154494566763707,-4.473188609296039,3.941778952635443,3.614998958196318,470.3524956813783,26.553034881726358,21.14495915451095
0.14892515596200606,-15.897072000671715,223.8458456711684,19.89703619304246,52.452511372593726,51.40877322396985,0.6754056417377448,0.2809643698891882,0.1860049513903741,-0.2708091121466726,-4.487862529454696,4.073558245801522,2.260054794609115,13574.385081765504,30.797019794695174,283640.6555124718
0.16568054891617728,-15.749682909411616,156.0818163148839,32.23349530852143,42.09833498330889,63.02602950070499,0.6729244479696646,0.48594650707615134,0.11426564651352648,0.8771670735596636,-4.508990403631502,3.983294284501231,-0.39109217326499734,5352.956879185953,168.65878108992348,22.79427725763422
0.1472420604458825,-16.168040410502083,233.39267114529957,28.978483985716863,14.829618592554201,7.260275976807377,0.5362977497230723,0.05401876230541367,0.2014243967432759,-0.038937261904027465,-4.432981601230207,4.132362271679053,0.8376634221406725,40.62134491096246,1049.3209454747032,425.2965462679445
0.16309688171552394,-15.554947144820549,161.9725335730582,25.159843134487055,38.57854471339432,3.500527731558429,0.4984736675380974,0.4103591697060855,0.1749915015310235,-0.8116232739263034,-4.503900739931396,4.03392317342161,0.47278160792762747,20.35609675249102,35.734557721570596,14091.82010181409
0.16517353178038602,-15.66271596756456,187.58441852651598,29.85509330745307,19.409064478444943,26.917022846293115,0.6375872330228199,0.43342985401341744,0.17108528577250082,0.2599706332389239,-4.504789146273825,4.194469206186284,0.8189515702453489,40.211956618278876,2395.721913606674,207.17714269516992
0.1476840016201213,-16.120630951459994,139.83176718339064,33.678449477758356,20.166930094327252,36.352467138059225,0.6593101228838697,0.11199887151253755,0.1832419233374205,0.03619986167310707,-4.490817332610291,4.031095895989492,2.7885608218159876,792.6245075901659,63211.12137064486,2747.6187685988134
0.14693874257559106,-15.763603595480753,174.8719121904745,36.588016152666015,20.822687715688847,98.54960694247357,0.6780700165616611,0.13383305075251634,0.14201478202290735,-0.40070941621236283,-4.521969255018909,4.2515449551306395,2.8951488862638124,1424.5954023501718,65.48732781468061,2856.848984595666
